subject,task,best_model,best_interval,best_score,fft
65,5_9_13,LogisticRegression,(-1.0, 3.0),0.7058823529411765,True
66,5_9_13,LogisticRegression,(0.0, 4.0),0.8823529411764706,True
67,5_9_13,LogisticRegression,(0.0, 3.0),0.8823529411764706,True
68,5_9_13,LogisticRegression,(1.0, 3.0),1.0,True
69,5_9_13,LogisticRegression,(0.0, 4.0),1.0,True
70,5_9_13,LogisticRegression,(1.0, 3.0),1.0,False
71,5_9_13,LogisticRegression,(1.0, 3.0),0.9411764705882353,False
72,5_9_13,LogisticRegression,(-1.0, 4.0),0.9375,False
73,5_9_13,XGBClassifier,(0.0, 2.0),0.9411764705882353,False
74,5_9_13,GradientBoostingClassifier,(0.0, 4.0),0.8823529411764706,True
75,5_9_13,LinearDiscriminantAnalysis,(0.0, 2.0),0.8235294117647058,False
76,5_9_13,LogisticRegression,(0.0, 4.0),0.9411764705882353,True
77,5_9_13,LogisticRegression,(-1.0, 4.0),1.0,False
78,5_9_13,RandomForestClassifier,(1.0, 2.0),0.8823529411764706,True
79,5_9_13,GradientBoostingClassifier,(0.0, 2.0),0.9411764705882353,False
80,5_9_13,LogisticRegression,(1.0, 3.0),0.8823529411764706,True
81,5_9_13,XGBClassifier,(-1.0, 4.0),1.0,False
82,5_9_13,LogisticRegression,(1.0, 4.0),1.0,False
83,5_9_13,RandomForestClassifier,(-1.0, 4.0),1.0,True
84,5_9_13,LogisticRegression,(1.0, 4.0),1.0,False
85,5_9_13,LogisticRegression,(1.0, 4.0),0.9411764705882353,False
86,5_9_13,LogisticRegression,(0.0, 2.0),0.9411764705882353,True
87,5_9_13,LogisticRegression,(-1.0, 3.0),1.0,True
88,5_9_13,LogisticRegression,(1.0, 2.0),0.7272727272727273,True
89,5_9_13,LogisticRegression,(0.0, 2.0),1.0,False
90,5_9_13,RandomForestClassifier,(0.0, 3.0),0.7647058823529411,False
91,5_9_13,LogisticRegression,(1.0, 4.0),0.9411764705882353,False
92,5_9_13,RandomForestClassifier,(1.0, 2.0),0.9545454545454546,False
93,5_9_13,LogisticRegression,(0.0, 3.0),0.8235294117647058,False
94,5_9_13,LogisticRegression,(0.0, 4.0),1.0,False
95,5_9_13,LogisticRegression,(1.0, 4.0),0.8235294117647058,True
96,5_9_13,GradientBoostingClassifier,(0.0, 4.0),0.8333333333333334,True
97,5_9_13,LogisticRegression,(1.0, 2.0),0.7222222222222222,True
98,5_9_13,LogisticRegression,(1.0, 4.0),1.0,False
99,5_9_13,LogisticRegression,(-1.0, 2.0),0.7058823529411765,True
100,5_9_13,GradientBoostingClassifier,(1.0, 3.0),1.0,False
101,5_9_13,LogisticRegression,(0.0, 3.0),0.8235294117647058,False
102,5_9_13,LogisticRegression,(1.0, 2.0),1.0,True
103,5_9_13,LinearDiscriminantAnalysis,(1.0, 4.0),1.0,True
104,5_9_13,LogisticRegression,(0.0, 3.0),1.0,True
105,5_9_13,RandomForestClassifier,(0.0, 3.0),1.0,False
106,5_9_13,LogisticRegression,(1.0, 3.0),0.8461538461538461,False
107,5_9_13,LogisticRegression,(1.0, 3.0),0.7647058823529411,False
108,5_9_13,RandomForestClassifier,(-1.0, 4.0),0.9411764705882353,False
109,5_9_13,LogisticRegression,(0.0, 3.0),0.8888888888888888,True
1,6_10_14,LogisticRegression,(0.0, 3.0),0.8823529411764706,True
2,6_10_14,LogisticRegression,(1.0, 4.0),0.8888888888888888,True
3,6_10_14,RandomForestClassifier,(1.0, 2.0),0.8235294117647058,True
4,6_10_14,RandomForestClassifier,(0.0, 2.0),1.0,True
5,6_10_14,XGBClassifier,(0.0, 4.0),0.8235294117647058,False
6,6_10_14,LogisticRegression,(0.0, 4.0),0.6470588235294118,True
7,6_10_14,LogisticRegression,(1.0, 4.0),1.0,True
8,6_10_14,LogisticRegression,(1.0, 2.0),0.8235294117647058,True
9,6_10_14,RandomForestClassifier,(1.0, 4.0),0.7647058823529411,False
10,6_10_14,LogisticRegression,(1.0, 2.0),0.8823529411764706,False
11,6_10_14,LogisticRegression,(0.0, 3.0),0.8235294117647058,True
12,6_10_14,LogisticRegression,(0.0, 4.0),0.8823529411764706,False
13,6_10_14,LogisticRegression,(-1.0, 3.0),0.75,True
14,6_10_14,RandomForestClassifier,(0.0, 4.0),0.8333333333333334,True
15,6_10_14,LogisticRegression,(0.0, 4.0),1.0,True
16,6_10_14,LinearDiscriminantAnalysis,(-1.0, 2.0),0.7647058823529411,False
17,6_10_14,LogisticRegression,(1.0, 3.0),0.8888888888888888,True
18,6_10_14,RandomForestClassifier,(1.0, 4.0),0.9411764705882353,False
19,6_10_14,LogisticRegression,(1.0, 2.0),0.7058823529411765,False
20,6_10_14,LogisticRegression,(-1.0, 4.0),1.0,False
21,6_10_14,LogisticRegression,(-1.0, 3.0),0.7058823529411765,True
22,6_10_14,LogisticRegression,(0.0, 4.0),1.0,True
23,6_10_14,LinearDiscriminantAnalysis,(-1.0, 3.0),0.8235294117647058,True
24,6_10_14,LogisticRegression,(1.0, 2.0),0.8235294117647058,False
25,6_10_14,GradientBoostingClassifier,(1.0, 3.0),1.0,False
26,6_10_14,LogisticRegression,(0.0, 3.0),0.7647058823529411,True
27,6_10_14,LogisticRegression,(-1.0, 2.0),0.8125,False
28,6_10_14,LogisticRegression,(1.0, 2.0),0.8823529411764706,True
29,6_10_14,LogisticRegression,(1.0, 2.0),0.9411764705882353,True
30,6_10_14,LogisticRegression,(1.0, 2.0),0.8333333333333334,False
31,6_10_14,LogisticRegression,(1.0, 3.0),0.8823529411764706,False
32,6_10_14,LinearDiscriminantAnalysis,(-1.0, 4.0),0.875,False
33,6_10_14,RandomForestClassifier,(1.0, 3.0),0.7647058823529411,True
34,6_10_14,RandomForestClassifier,(0.0, 4.0),1.0,False
35,6_10_14,LogisticRegression,(-1.0, 4.0),1.0,False
36,6_10_14,LogisticRegression,(0.0, 2.0),0.9411764705882353,True
37,6_10_14,RandomForestClassifier,(1.0, 3.0),0.7647058823529411,True
38,6_10_14,LogisticRegression,(1.0, 2.0),0.6470588235294118,True
